=== v3 (impression+findings) started Tue Sep 15 02:15:15 PM KST 2026 ===
[1/6] regenerating text...
TEXT_DONE
[2/6] gates...
      rows v3=377,110  h5=377,110  aligned=True
      NO IMPRESSION: v2 4.4%  v3 4.4%
      median words: v2 16 -> v3 48   longer: 59.7%
[3/6] training 8 epochs Tue Sep 15 02:16:47 PM KST 2026
      train exit=0  checkpoints=236
[4/6] checkpoint selection Tue Sep 15 03:55:42 PM KST 2026
Device: cuda:0
Ground truth: 200 images x 5 labels
Positives per label: Atelectasis=75, Cardiomegaly=66, Consolidation=32, Edema=42, Pleural Effusion=64
Found 236 checkpoints
[1/236] step      -1  mean AUC 0.8529
[2/236] step     200  mean AUC 0.7071
[3/236] step     400  mean AUC 0.7498
[4/236] step     600  mean AUC 0.7698
[5/236] step     800  mean AUC 0.7783
[6/236] step    1000  mean AUC 0.7835
[7/236] step    1200  mean AUC 0.7979
[8/236] step    1400  mean AUC 0.8034
[9/236] step    1600  mean AUC 0.7894
[10/236] step    1800  mean AUC 0.7819
[11/236] step    2000  mean AUC 0.7949
[12/236] step    2200  mean AUC 0.7937
[13/236] step    2400  mean AUC 0.8006
[14/236] step    2600  mean AUC 0.7998
[15/236] step    2800  mean AUC 0.7926
[16/236] step    3000  mean AUC 0.8071
[17/236] step    3200  mean AUC 0.7931
[18/236] step    3400  mean AUC 0.7797
[19/236] step    3600  mean AUC 0.7812
[20/236] step    3800  mean AUC 0.7908
[21/236] step    4000  mean AUC 0.7958
[22/236] step    4200  mean AUC 0.8122
[23/236] step    4400  mean AUC 0.8107
[24/236] step    4600  mean AUC 0.8142
[25/236] step    4800  mean AUC 0.8021
[26/236] step    5000  mean AUC 0.8058
[27/236] step    5200  mean AUC 0.8025
[28/236] step    5400  mean AUC 0.8057
[29/236] step    5600  mean AUC 0.7910
[30/236] step    5800  mean AUC 0.8178
[31/236] step    6000  mean AUC 0.7985
[32/236] step    6200  mean AUC 0.7956
[33/236] step    6400  mean AUC 0.8037
[34/236] step    6600  mean AUC 0.7973
[35/236] step    6800  mean AUC 0.7967
[36/236] step    7000  mean AUC 0.7956
[37/236] step    7200  mean AUC 0.8225
[38/236] step    7400  mean AUC 0.8217
[39/236] step    7600  mean AUC 0.8032
[40/236] step    7800  mean AUC 0.8110
[41/236] step    8000  mean AUC 0.8016
