label,prompt,n_positive,auc,ci_lower,ci_upper
Atelectasis,basilar atelectasis,3279,0.6992752944373856,0.6897261706419997,0.7084621837979097
Cardiomegaly,enlarged cardiac silhouette,1069,0.873951590662214,0.8646158706198169,0.8838817502708597
Effusion,a chest x-ray with Effusion,4658,0.7749658912421761,0.7682074875645432,0.7817423667035012
Infiltration,findings consistent with infiltrate,6112,0.6879269805954354,0.6810457461202915,0.6956311212950468
Mass,Mass,1748,0.6651862803668083,0.6528258520089512,0.6782406503236623
Nodule,a chest x-ray with small nodular opacity,1623,0.6112318954839804,0.5978428428204876,0.6263476236395528
Pneumonia,a chest x-ray with Pneumonia,555,0.6854812162108197,0.6644793265558809,0.7078865746194571
Pneumothorax,findings consistent with Pneumothorax,2665,0.7436054717705608,0.7340183434303291,0.7530500853557007
Consolidation,a chest x-ray with Consolidation,1815,0.6953118579860326,0.6848506666083316,0.7074216329910301
Edema,a chest x-ray with pulmonary edema is present,925,0.8022623125740146,0.7901897868891291,0.8138844027017196
Emphysema,a chest x-ray with emphysematous changes,1093,0.5924487689932771,0.5780347391933047,0.6071164994630778
Fibrosis,there is reticular interstitial opacities,435,0.5849725012300098,0.5560334807397453,0.6135747795809883
Pleural_Thickening,there is Pleural_Thickening,1143,0.6954307044789155,0.6795653141924695,0.7110720334239705
Hernia,a chest x-ray with Hernia,86,0.6590201744869773,0.595799671868482,0.7193085797559409
