label,prompt,n_positive,auc,ci_lower,ci_upper
Atelectasis,Atelectasis,3279,0.6868764736696252,0.6772312546413694,0.6961862027147426
Cardiomegaly,Cardiomegaly,1069,0.849222252272109,0.8377858397200609,0.8606442087657132
Effusion,Pleural Effusion,4658,0.7958052287599928,0.7890564118266421,0.8021438113732834
Infiltration,Infiltration,6112,0.6923752455028209,0.6859669352831871,0.7000148677229078
Mass,Mass,1748,0.6618627667254934,0.6491712819246283,0.6747373375461825
Nodule,Nodule,1623,0.46686453765929264,0.4541380496735321,0.48105065418823395
Pneumonia,Pneumonia,555,0.6848685633039293,0.6629047518766833,0.7068301361526765
Pneumothorax,Pneumothorax,2665,0.7128129391846311,0.7037415817728199,0.7224521685102259
Consolidation,Consolidation,1815,0.6961315623058573,0.6858757184635429,0.7078500014232475
Edema,Edema,925,0.8116937601538956,0.7994482067752904,0.824076453566747
Emphysema,Emphysema,1093,0.5298695430202751,0.514405171800369,0.5456002987390519
Fibrosis,Fibrosis,435,0.5538574796700055,0.5251563817017921,0.5808801427541959
Pleural_Thickening,Pleural Thickening,1143,0.6905614352084859,0.6738532333088206,0.7054726116890079
Hernia,Hernia,86,0.5259813752928628,0.4618486682022857,0.5927390629218949
