label,prompt,n_positive,auc,ci_lower,ci_upper
Atelectasis,basilar atelectasis,3279,0.7058131697769214,0.6961795219706217,0.7146816086926814
Cardiomegaly,enlarged cardiac silhouette,1069,0.8538421013508224,0.8425808551595113,0.8644688444982488
Effusion,a chest x-ray with Effusion,4658,0.7907705265389022,0.7837468437769822,0.7972855515903741
Infiltration,findings consistent with infiltrate,6112,0.6871266108330529,0.6801120774179354,0.6948159226666631
Mass,Mass,1748,0.6618628986633116,0.6491712430258992,0.674737529727259
Nodule,a chest x-ray with small nodular opacity,1623,0.6110136380322502,0.5976667004352109,0.6254854960226365
Pneumonia,a chest x-ray with Pneumonia,555,0.6915212924677403,0.6700842609992579,0.7130819589113289
Pneumothorax,findings consistent with Pneumothorax,2665,0.76396375683867,0.7550692580905836,0.7732311313724173
Consolidation,a chest x-ray with Consolidation,1815,0.7026594140772381,0.6920424793348958,0.7147465322583562
Edema,a chest x-ray with pulmonary edema is present,925,0.8075111056092775,0.794378504251738,0.819068588277242
Emphysema,a chest x-ray with emphysematous changes,1093,0.5886491894358474,0.5748991647678734,0.6027578508383054
Fibrosis,there is reticular interstitial opacities,435,0.5861405194227337,0.5577919359695745,0.6142168712988287
Pleural_Thickening,there is Pleural_Thickening,1143,0.7050665051770177,0.6897008109526579,0.7207961447263973
Hernia,a chest x-ray with Hernia,86,0.6935590694027878,0.632968447738533,0.7578579308725627
