label,prompt,n_positive,auc,ci_lower,ci_upper
Atelectasis,Atelectasis,3279,0.7030461832343609,0.69418842463483,0.7116662280531181
Cardiomegaly,Cardiomegaly,1069,0.8072447641081135,0.7939551759114145,0.8197329410526862
Effusion,Pleural Effusion,4658,0.786695798316984,0.7801273646363275,0.793418274446997
Infiltration,Infiltration,6112,0.6816809592257737,0.6744693682344671,0.689369205344653
Mass,Mass,1748,0.6813705767726492,0.6692519240493463,0.6951632662965986
Nodule,Nodule,1623,0.6220067251155599,0.6078321998212561,0.6359577967524381
Pneumonia,Pneumonia,555,0.6943158445374811,0.6733539148232138,0.7146450397661172
Pneumothorax,Pneumothorax,2665,0.6999136000054982,0.6907288034305576,0.7103620809907927
Consolidation,Consolidation,1815,0.708581879438675,0.6978713081116832,0.7198681459474707
Edema,Edema,925,0.7981440294820377,0.7857467170860489,0.8105835089447407
Emphysema,Emphysema,1093,0.4913529455978261,0.47694093818182637,0.5047607328729188
Fibrosis,Fibrosis,435,0.591089018902178,0.5633471784615111,0.6185241137223533
Pleural_Thickening,Pleural Thickening,1143,0.6224971224280521,0.6060406060436981,0.6379003083489747
Hernia,Hernia,86,0.5456530954573218,0.4883397868361303,0.6011197459124353
